question,answer,intent
네 아 날개만 된 게 윙인가요?,날개하고 봉 들어있습니다,메뉴정보문의
그러면 양념 된 거는 부위별로 있고요?,네 간장만 하고 매운맛하고 두 개 있는데 그거는 다리하고 날개만 된 것도 있습니다,메뉴정보문의
마찰이 짬뽕밥은 돼지고기 들어가나요?,짬뽕은 돼지고기 약간씩 들어갑니다,메뉴정보문의
전복 들어가고 여러 가지 또 딴 것도 들어가죠?,네네,메뉴정보문의
전복 들어가는 거는 특해물 짬뽕 시켜야 돼요?,전복 짬뽕 시키면 전복이 들어가죠,메뉴정보문의
슈퍼디럭스랑 슈퍼슈프림이랑 뭐가 달라요?,토핑 차이인데 슈퍼슈프림이 좀 더 채소가 많이 올라갑니다,메뉴차이문의
원형 피자랑 네모난 거는 어떻게 달라요?,원형 피자는 흑미 도우라서 약간 쫄깃쫄깃하고요 네모난 거는 초벌을 두 번 해서 약간 바삭바삭해요,메뉴차이문의
간짜장하고 짜장면하고 차이점이 뭐예요?,짜장은 미리 볶아놓은 거고  간짜장은 주문받고 볶아서 나가는 겁니다,메뉴차이문의
거기 비비큐 오리지널 프라이드랑 황금올리브유 차이가 뭐예요?,같은 겁니다,메뉴차이문의
근데 칠리 탕수육도 있고 사천 탕수육도 있던데 어떤 게 나아요?,학생들은 칠리 좋아하고 일반 어른분들은 일반 탕수육 좋아합니다,메뉴차이문의
아 군만두도 하나 추가요,네 군만두 하나 추가하겠습니다,메뉴추가문의요청
탕수육 작은 사이즈로 하나 부탁드려요,탕수육 추가해서 2만 원입니다,메뉴추가문의요청
윙도 하나 갖다 주세요,윙도 추가해드릴게요,메뉴추가문의요청
그럼 두 개 같이 보내주세요,알겠습니다 총 42000원 카드로 결제해주시면 됩니다,메뉴추가문의요청
혹시 공깃밥도 주문이 되나요?,네 한 공기당 천 원이요,메뉴추가문의요청
맞아요 그리고 짬뽕 한 개 추가요,일반 짬뽕 한 개 추가하시면 총 40000원입니다,메뉴추가문의요청
그럼 세트 2번에 콜라도 갖다 주세요,네 콜라는 그냥 서비스로 드릴게요,메뉴추가문의요청
허니콤보 2개에 콜라 큰 거 하나 추가해주세요,허니콤보 2개 콜라 큰 거 하나 알겠습니다,메뉴추가문의요청
아 군만두도 하나 추가요,네 군만두 하나 추가하겠습니다,메뉴추가문의요청
그리고 저 감자튀김 쿠폰을 모아서 그런데 감자튀김도 같이 주실 수 있나요?,네  감자튀김도 같이 준비해드리겠습니다,메뉴추가문의요청
짬뽕에 공깃밥 추가할게요,8500원입니다,메뉴추가문의요청
탕수육 세트에 자장면 곱빼기 추가되나요?,네 됩니다,메뉴추가문의요청
그러면 공깃밥 추가하면 추가로 돈 드려야 돼요?,네 하나에 천 원이에요,메뉴추가문의요청
얼마나 더해지나요?,5천 원 정도 추가돼요,메뉴추가문의요청
선생님은 별도로 시키려고요,선생님 거는 고구마라든지 포테이토 시키면 괜찮고 애들은 콤비네이션이랑 불고기랑 많이 나가요,메뉴추가문의요청
치즈 없는 피자 주문하면 할인해주시나요?,네 치즈 가격은 빼 드려요,메뉴할인문의
혹시 라지 두 판 하면 할인해주시나요?,따로 할인되는 건 없습니다,메뉴할인문의
네 제가 혹시 요기 요로 주문했는데 배달 할인 7000원이 되나요? 어제까지는 반반인데 오늘 7000원 그러는 거 같던데,네 요기 요로 주문하시면 됩니다,메뉴할인문의
그 프라이드 시킬 건데 요기요 통하면 50프로 디시 된다 하던데,그 문의는 저희 쪽 말고 요기요에 물어보세요,메뉴할인문의
머스터드는 안 주셔도 되거든요 그러면 가격이 할인되나요?,아니요 할인 같은 건 안되고요,메뉴할인문의
그러면 무를 빼면 가격 할인이 안 되나요?,그렇게 안돼요 정해진 가격대로 받아야 돼요,메뉴할인문의
허니 오리지널은 쿠폰 사용되나요?,허니 오리지널은 쿠폰 사용하시면 1000원 추가됩니다,무료쿠폰사용
프라이드치킨은 쿠폰으로 결제할게요,쿠폰 10장 미리 준비해주세요,무료쿠폰사용
네 그리고 스파게티 쿠폰 3장 있는데 다 쓸 수 있나요?,아니요 쿠폰은 주문 당 한 장만 쓸 수 있습니다,무료쿠폰사용
탕수육 쿠폰을 쓸 수 있나요?,네 결제 시 같이 주세요,무료쿠폰사용
콜라하고 무료 조각 쿠폰 이런 거 3개 있는데,하나씩 사용 가능하세요,무료쿠폰사용
양념 반 오리지널 반으로 되나요?,네 됩니다,반반메뉴문의
프라이드 반 양념 반 되나요?,네 물론 가능합니다.,반반메뉴문의
순살로 주문하려고 하는데 뼈 있는 거 반반씩 가능할까요?,순살로만 주문이 가능하십니다.,반반메뉴문의
쿠폰은 몇 개와요?,2개 이상 시키면 3장씩 드려요,받는쿠폰수문의
짜장면 2개 배달말고 찾으러 갈 건데 언제까지 가면 되나요?,20분 뒤에 오시면 됩니다,방문포장문의요청
너무 오래 걸리는데 혹시 방문 포장 가능하나요?,아뇨 배달 주문만 합니다,방문포장문의요청
저 방문해서 가져가겠습니다,그럼 방문포장이므로 2000원 할인됩니다,방문포장문의요청
얼마 이상 구매해야 배달 가능한가요?,만 원 이상 구매하시면 배달해드립니다,배달가능금액문의
한 판은 주문이 불가능한가요?,아뇨 가능하세요,배달가능금액문의
지금 주문되나요?,네,배달가능문의
안녕하세요 주문되나요?,네 하시면 됩니다,배달가능문의
지금 짜장면이랑 짬뽕 배달되나요?,짬뽕 재료가 다 떨어져서 짜장면만 가능하세요,배달가능문의
지금 배달되나요?,네 가능합니다,배달가능문의
지금 배달되나요?,네 지금 됩니다,배달가능문의
지금 배달 가능한가요?,가능합니다,배달가능문의
지금 배달되나요?,네 가능합니다,배달가능문의
지금 배달 가능한가요?,네 가능하십니다,배달가능문의
지금 배달 가능한가요?,가능합니다,배달가능문의
지금 배달되나요?,네 가능합니다,배달가능문의
지금 배달되나요?,네 가능합니다,배달가능문의
배달 가능한가요?,네 주문받겠습니다,배달가능문의
지금 배달 가능한가요?,네 배달 가능합니다,배달가능문의
피자 지금 배달 가능한가요,네 가능합니다,배달가능문의
지금 배달하시나요?,네 말씀 하세요,배달가능문의
지금 배달 가능 시각인가요?,가능하세요,배달가능문의
지금 배달되나요?,네 11시까지 배달됩니다,배달가능문의
배달도 되나요?,네 배달도 해드립니다,배달가능문의
지금 배달 가능합니까?,가능한데 주문이 밀려있어서 시간이 조금 걸려요,배달가능문의
바쁜가 보네요,예 저녁시간이라 주문이 밀려있어요,배달가능문의
주문되나요?,네 가능합니다,배달가능문의
지금 배달 가능한가요?,네 가능합니다.,배달가능문의
배달 가능한가요?,네 배달됩니다,배달가능문의
지금 배달되나요?,네,배달가능문의
9시 넘었는데 지금도 배달되나요?,네 됩니다,배달가능문의
지금 배달되나요?,네. 지금 가능합니다.,배달가능문의
거기 배달되시지요?,네 배달됩니다,배달가능문의
외동인데 배달되나요?,네,배달가능문의
외동 배달되나요?,네 가능하세요,배달가능문의
지금 배달돼요?,네,배달가능문의
아 그러면 열두 시부터 배달은 돼요?,네 저녁 열두시까지 가능해요,배달가능문의
아 그럼 배달도 되고 예?,네 배달됩니다,배달가능문의
피자 배달되나요?,네,배달가능문의
지금 배달되나요?,네,배달가능문의
배달 가능한가요?,네,배달가능문의
네 수고하십니다 저 지금 죄송하지만 배달 가능한가요,네 가능하십니다,배달가능문의
지금 배달 가능한가요?,네,배달가능문의
지금 배달되나요?,네,배달가능문의
수고하십니다 반점이죠 배달 가능한가요?,네,배달가능문의
배달되나요?,지금 끝났는데요 죄송해요,배달가능문의
배달 가능한가요?,예,배달가능문의
수고하십니다 죄송하지만 배달되나요?,네,배달가능문의
지금 배달 가능한가요?,네 말씀 하세요,배달가능문의
중국집 명성 누죠? 배달 지금 가능한가요?,예 배달 가능합니다,배달가능문의
배달하고 포장하고 가격은 달라요?,틀리죠,배달과포장가격차이문의
배달비는 따로 있나요?,없습니다,배달비문의
요즘 배달비 따로 있나요?,네 2천 원 있습니다,배달비문의
배달비는 얼마에요?,5000원입니다,배달비문의
혹시 추가되는 배달비가 있나요?,추가되는 배달비 없습니다,배달비문의
배달비가 있나요?,배달비 2000원입니다.,배달비문의
배달료는 얼마인가요?,2000원입니다,배달비문의
배달료도 또 있죠?,네 왜 돈은 배달료 500원 추가세요.,배달비문의
배달료가 있어요?,네 배달 팁 500원 있어요 그래서 총 25200원입니다,배달비문의
배달료도 따로 드려야 되는가요?,기본적으로 배달은 안 되고요 단체 배달만 가능해요,배달비문의
퀵비 따로 드려야 되나요?,아뇨 배달료는 저희가 부담합니다,배달비문의
배달료가 있는 거네요?,홀에서 드시는 거하고 배달 나가는 거 하고 가격과 양이 틀립니다,배달비문의
아 그러면 배달료는 받나요?,저희는 없습니다,배달비문의
배달료 따로 받아요?,네,배달비문의
요기 배달료 포함인가요?,아니요,배달비문의
그럼 통닭 값이랑 거기다가 오천 원 더 들어간다는 거죠?,네,배달비문의
그럼 퀵은 배송비 얼마 들어요?,퀵비 오천 원 들죠,배달비문의
배달하면 배달료 따로 있나요?,아뇨 따로 없는데 배달하시면 이십 분 더 걸려요,배달비문의
배달료 얼마 받는데요?,배달비 그 거리마다 다르고 기본 이천 원이에요.,배달비문의
혹시 배달료 따로 받나요?,네,배달비문의
아 혹시 배달료 따로 받던데 배달료는 있나요?,저희 매장은 현재는 없습니다,배달비문의
그럼 배달료 따로 받던데 받나요?,아뇨 똑같이 해요,배달비문의
원대동인데 주문할 때 배달비 드려야 되나요?,원대동은 배달비 천원 있습니다,배달비문의
배달비 따로 있어요?,없습니다,배달비문의
배달비 따로 드려야 되나요?,아뇨 배달비는 따로 없습니다,배달비문의
배달하면 배달료 따로 붙나요?,배달료는 따로 없습니다,배달비문의
배달비는 따로 드려야 돼요?,아니요 배달비는 따로 없습니다,배달비문의
배달비는 따로 드려야 되나요?,아니요 그런 거 없어요,배달비문의
그러면 배달비는 따로 드려야 돼요?,아니요 그런 거 없어요,배달비문의
아 그러면 배달비도 따로 내야 되나요?,배달비는 없습니다,배달비문의
혹시 배달 얼마나 걸리나요?,지금 주문이 조금 밀려서 40분 정도 걸릴 거 같아요,배달시간문의
배달은 얼마나 걸리나요?,네 30분에서 40분 정도 걸릴 예정입니다,배달시간문의
네 배달은 얼마나 걸리나요?,30분 정도 걸립니다,배달시간문의
네 혹시 배달시간은 얼마나 걸릴까요?,지금 주문이 밀려서 50분 정도 걸릴 것 같아요,배달시간문의
배달 오는 데까지 몇 시간 걸리나요?,50분 정도 걸립니다,배달시간문의
소요시간은 대략 어느 정도 걸리나요?,지금으로부터 50분 이내에 배달됩니다,배달시간문의
얼마나 걸릴까요?,40분 정도 소요됩니다,배달시간문의
얼마나 걸리나요?,30분 정도 걸려요,배달시간문의
지금 주문하면 언제쯤 배달되나요?,30분쯤 뒤에 배달됩니다,배달시간문의
네  그럼 그걸로 주시고 시간은 얼마나 걸리죠?,한 20분 정도 걸립니다,배달시간문의
30분 안에 배달 가능할까요?,네 신속한 배달해드리겠습니다,배달시간문의
네 배달 시간은 얼마나 걸리나요?,30분 정도 걸릴 예정입니다,배달시간문의
그렇게나 많이 기다려야 해요?,네 지금 배달업체도 비상이에요,배달시간문의
얼마나 기다리면 될까요?,1시간 30분에서 2시간 정도 될 거 같은데요,배달시간문의
얼마나 걸리나요?,40분 소요됩니다,배달시간문의
몇 시쯤 오실까요?,1시간 30분 후에 도착해서 전화드리겠습니다,배달시간문의
치킨 한 마리 피자 한 판 주문하면 얼마나 걸리나요?,오늘 연휴 기간이라 1시간 이상 걸립니다,배달시간문의
지금 주문하면 얼마나 걸려요?,40분 정도 걸립니다,배달시간문의
30분 안에 배달되나요?,네 금방 가져다드릴게요,배달시간문의
얼마나 걸리나요?,지금 주문이 조금 밀려있어서 30분 정도 걸리세요,배달시간문의
네 혹시 얼마나 걸리나요?,지금부터 한 20분 정도 소요됩니다,배달시간문의
배달 시간은 얼마나 걸리나요?,30분 정도 걸립니다,배달시간문의
시간은 어느 정도 걸릴까요?,대략 30분 정도 예상해주세요,배달시간문의
왜 늦을 수도 있어요?,죄송합니다 주문이 밀려서요,배달시간문의
지금 주문하면 얼마나 걸릴까요?,40분 정도 소요됩니다,배달시간문의
얼마나 걸리나요?,1시간 정도 예상됩니다,배달시간문의
피자 주문하면 얼마나 걸릴까요?,1시간 정도 걸릴 거 같아요,배달시간문의
시간은 얼마나 걸릴까요?,30분 정도 걸립니다,배달시간문의
얼마나 걸릴까요?,지금 점심시간이라 주문이 밀려서 30분 정도 걸릴 것 같아요,배달시간문의
얼마나 걸릴까요?,1시간 안으로는 무조건 배달됩니다,배달시간문의
네 얼마나 걸릴까요?,1시간 이내로 도착합니다,배달시간문의
그렇게나 오래 걸리나요,오늘 축구 때문에 다른데도 다 비슷할 거예요,배달시간문의
얼마나 걸려요?,한 30분 정도요?,배달시간문의
지금 배달하면 얼마나 걸리나요,50분 정도 걸립니다,배달시간문의
음료는 필요 없는데 얼마나 걸려요?,30분 안에 배달 갑니다,배달시간문의
시간은 얼마나 걸리나요?,40분 정도 걸립니다,배달시간문의
시간 얼마 정도 걸릴까요?,30분에서 1시간 정도 걸리십니다,배달시간문의
대충 얼마나 걸리나요?,30분 정도 걸립니다,배달시간문의
얼마나 걸려요?,30분 정도요,배달시간문의
오시는데 얼마나 걸리나요?,30분 정도 걸릴 것 같아요,배달시간문의
배달시간이 얼마나 걸리나요?,40분에서 50분 정도 걸립니다,배달시간문의
공덕동까지 배달 오시는데 몇 분 정도 걸리나요?,20분 정도 걸려요,배달시간문의
도착하는 데 얼마나 걸리나요?,40분 소요 예정입니다.,배달시간문의
배달 소요 시간은요?,30분입니다,배달시간문의
네 얼마나 걸리나요?,한 25분에서 30분 걸릴 것 같아요,배달시간문의
아직 배달이 안 왔는데 언제쯤 도착하나요?,방금 출발해서 곧 도착 예정입니다.,배달시간문의
지금 주문하면 얼마나 걸리나요?,30분 정도 걸립니다.,배달시간문의
얼마나 걸릴까요?,30분 정도 기다리셔야 합니다.,배달시간문의
배달은 얼마나 걸리나요?,30분 내로 가능합니다,배달시간문의
얼마나 걸릴까요?,40분 정도 걸립니다,배달시간문의
배달 시간은 얼마나 걸리나요?,현재 30분 정도 예상됩니다.,배달시간문의
지금 치킨 시키면 얼마나 걸릴까요?,주문량이 많아서 1시간 30분 정도 걸릴 거 같습니다,배달시간문의
대우아파트 1동 105호인데 배달이 얼마나 걸리나요?,30분 안에 배달됩니다,배달시간문의
어느 정도 걸릴까요?,40분 정도 걸립니다.,배달시간문의
빨리 먹을 수 있나요?,약 삼십 분 걸립니다,배달시간문의
라지 2개 주문하면 몇 분 정도 걸려요?,지금 저희 앞에 주문이 조금 있어서 약간 시간이 걸릴 것 같습니다,배달시간문의
시간은 어느 정도 걸려요?,시간은 3~40분 정도 걸릴 수 있어요,배달시간문의
언제까지 배달돼요?,지금부터 한 30분 안쪽이시면 될 것 같아요,배달시간문의
배달까지 다 해서 전화하면 몇 분 걸려요?,미리 시간을 잡아 놓으시면 그 시간에 맞춰서 해드려요,배달시간문의
양장피는 전화하면 얼마 정도 걸리죠?,양장피는 보통 30분 정도 걸려요,배달시간문의
시간은 어느 정도 걸려요?,배달까지 40분 정도 소요돼요,배달시간문의
그러면 한 10분 안에 올 수 있는 거죠?,네,배달시간문의
지금 시키면 언제까지 올 수 있어요?,금방 갑니다,배달시간문의
지금 바로 오시죠?,아니요 시간은 좀 걸립니다.,배달시간문의
나가면 얼마나 기다려야 되나요?,지금 주문하시면 십오분 정도 걸립니다,배달시간문의
배달은 몇 시부터 합니까?,보통 열두 시부터입니다,배달시간문의
"낮에 시켜야 되거든요, 배달 시간은 언제 돼요?",나중에 전화 주시면 기사를 불러서 합니다,배달시간문의
그 불갈비 치킨은 시간이 얼마나 걸려 예?,한 이십 분 걸립니다,배달시간문의
주문하면 시간은 얼마쯤 걸려요?,한 3~40분 걸립니다,배달시간문의
배달 오시는데 소요되는 시간은 몇 분 정도에요?,지금 하시면 한 35분 40분 정도 걸릴 것 같습니다.,배달시간문의
주문하면 몇 분 정도 소요돼요?,십오분이면 나와요,배달시간문의
주문하면 몇 분 정도 조리하나요?,십오분여,배달시간문의
주문하면 침산동까지 한 몇 분 걸려요 도착하면?,넉넉잡아 한 40분 빠르면 30분이고요,배달시간문의
그거 주문하면 오는데 시간이 얼마나 걸리나요?,50분 걸립니다,배달시간문의
주문하면 시간은 얼마나 걸려요?,오늘은 한 시간 이상 기다려야 됩니다,배달시간문의
그래요 배달하는데 소요되는 시간 얼마나 걸려요?,저희 한 3-40분 걸려요,배달시간문의
세 마리 하려면 몇 분 걸려요?,시간대마다 다 틀려요,배달시간문의
네 한 여덟시쯤에 뭐 우선하려면 한 일곱시 반에 하면 되나요?,손님이 필요하신 시간을 지금 말씀하세요 예약을 해야지 시간을 맞추는 거고요 나중에 주문하면 한 시간이 걸릴 수도 있어요,배달시간문의
배달 몇 시부터 몇 시까지 하시는데요?,아침에 열시 반부터 저녁 여덟 시까지요,배달시간문의
최대한 빨리 부탁드립니다,네 알겠습니다,배달시간요청
네 최대한 빨리 배달 부탁드립니다,네 알겠습니다,배달시간요청
최대한 빨리 가져다주세요,네 금방 드릴게요,배달시간요청
네 되도록이면 빨리 가져다주세요,네 알겠습니다,배달시간요청
20분 뒤에 배달해주세요,네 바로 준비하겠습니다,배달시간요청
빠르게 부탁드립니다,네 알겠습니다,배달시간요청
빨리 가져다주세요,20분 안에 가져다드릴게요,배달시간요청
더 빨리는 안 되나요?,앞 주문이 완료되는 대로 빨리 갖다 드리겠습니다,배달시간요청
최대한 빨리 부탁드릴게요,네 알겠습니다,배달시간요청
그릇은 일회용인가요,수거하는 그릇에 배달해드립니다,배달용기문의
짬뽕 배달용기 어떻게 오나요?,일회용 그릇으로 배달합니다,배달용기문의
배달 올 때 일회용 그릇인가요? 접시인가요?,꼭대기 층은 식사를 시키면 일회용으로 가고 안주 시키면 그릇으로 갑니다,배달용기문의
일회용 그릇으로 보내나요? 접시로 보내나요?,그릇으로 보내드릴게요,배달용기문의
접시로 오시나요 일회용으로 오시나요?,그릇으로 갑니다,배달용기문의
그릇은 일회용이에요?,일회용 용기에 배달료가 2000원 부과돼요,배달용기문의
용기가 플라스틱이라서 뜨거운 거 넣으니까 좀 그렇던데 종이 포일 같은 거는 안 되나요?,우리가 전체적으로 나가기 때문에 어쩔 수 없어요,배달용기변경요청
성곡동도 배달되나요?,네 배달됩니다,배달장소범위문의
한강아파트 A동 303호인데 배달 오나요?,네 가능합니다,배달장소범위문의
여기 성복동 배달되나요?,네 배달됩니다,배달장소범위문의
행복아파트 배달되나요?,네 배달 가능하세요,배달장소범위문의
한강에서 주문할 수 있나요?,네 배달이 늦을 수도 있어요,배달장소범위문의
여기 신사동 12번지인데 배달되나요?,네 가능합니다,배달장소범위문의
중계 2동 상아아파트 배달되나요?,네 배달합니다,배달장소범위문의
그리고 배달 오면 그냥 문 앞에 놓고 가달라고 전해주세요,예 잘 전달하겠습니다,배달장소범위문의
여기 00아파트인데 배달 가능한가요?,네 가능합니다,배달장소범위문의
여기 서울 마포구 공덕동인데 배달되나요?,네 배달료 2500원입니다,배달장소범위문의
여기 중산동인데 배달되나요?,50분 정도 걸려요,배달장소범위문의
여기 연세대학교 언더우드 관으로 배달 가능한가요?,네 주문해주세요,배달장소범위문의
성곡동도 배달되나요?,네 배달됩니다,배달장소범위문의
여기 무슨 동인데 배달되겠죠?,네 가능합니다,배달장소범위문의
여기 왜 동도 배달되나요?,네 왜 동도 배달하고 있습니다,배달장소범위문의
외동 배달되나요?,네 가능하세요,배달장소범위문의
혹시 여기 달서구 두류동에 성안 오피스텔 배달되나요?,네 갑니다,배달장소범위문의
외동 동신아파트 쪽에 배달되나요?,네,배달장소범위문의
아 그럼 어디까지 해요?,네 주위에만 해요,배달장소범위문의
네 그러면 주문하면 침산동인데 배달은 가능한가요?,네,배달장소범위문의
여기 칠성동 1가인데 배달되나요?,칠성동 1 가는 안됩니다,배달장소범위문의
네 그럼 도착해서 전화 주시면 1층으로 내려가서 받을게요,네 최대한 빨리 배달해드리겠습니다,배달출발도착알림요청
배달원분한테 오시면 현관에서 전화 달라고 해주세요,네 전하겠습니다,배달출발도착알림요청
집에 아기가 자고 있어서 배달 오면 1층에서 전화 주시겠어요?,네 알겠습니다,배달출발도착알림요청
네 오셔서 010-1234-5678로 연락 한 통 부탁드릴게요,네 연락드리겠습니다,배달출발도착알림요청
배달 출발할 때 전화 주실 수 있나요?,네. 전화드리겠습니다.,배달출발도착알림요청
무슨 치킨이 가장 맛있나요?,켄터키 치킨이 제일 잘나가요,베스트메뉴문의추천요청
어떤 치킨이 제일 잘나가요?,매운 양념치킨이 제일 잘나갑니다,베스트메뉴문의추천요청
요즘 맛있다고 하는 메뉴 추천해 주세요,네 자메이카 통달이 구이가 인기 있습니다,베스트메뉴문의추천요청
피자 메뉴 어떤 게 잘 나가나요?,슈림프 피자가 인기가 좋습니다,베스트메뉴문의추천요청
어떤 치킨이 가장 맛있나요?,프라이드치킨이 가장 잘 나가요,베스트메뉴문의추천요청
네 요즘 많이 나가는 게 뭐예요?,지금 더블크러스트이베리코피자가 제일 잘나가요,베스트메뉴문의추천요청
그러면 고구마 피자 말고 다른 거 뭐 잘 나가요?,블랙타이거 슈림프 피자와 블랙 앵거스 피자입니다,베스트메뉴문의추천요청
프라이드가 더 잘 나가요? 양념이 더 잘 나가요?,양념이 많이 나갑니다,베스트메뉴문의추천요청
어떤 게 잘 나가요? 요즘에,슈프림 인기 많아요,베스트메뉴문의추천요청
그러면 황금 올리브 치킨이나 아니면 그냥 반반 시키려고 하는데 어떤 게 더 잘 나가요?,그거는 둘 다 제일 잘나가는 거예요,베스트메뉴문의추천요청
잘 나가는 거 어떤 거 있어요?,"대표 메뉴가 킹 스페셜 고구마나 치즈 바이트, 무난하게 불고기 고구마 포테이토 화이트 콤비, 매콤한 거 좋아하시면 핫불고기 아니면 고구마 있습니다",베스트메뉴문의추천요청
세트 메뉴는 어떤 게 잘 나가요?,세트는 먹는 양에 따라 다른데 훈제 치킨 들어가는 것도 있고 스파게티 들어가는 것도 있고 다 틀려요,베스트메뉴문의추천요청
피자 중에 어떤 게 잘 나가나요?,고구마나 불고기 제일 많이 나가거든요,베스트메뉴문의추천요청
피자 종류 중에 어떤 게 좀 잘 나가나요?,7번가 스페셜이나 체다 골드나 깐쇼 불 갈비 많이 나갑니다,베스트메뉴문의추천요청
어떤 게 제일 잘나가나요?,고구마 하고 불고기가 제일 잘나갑니다,베스트메뉴문의추천요청
어떤 피자가 잘 나가요?,새로 나온 블랙 앵거스가 많이 나갑니다,베스트메뉴문의추천요청
찜닭 한 마리 잘 나가는 종류가 뭐가 있나요?,간장으로 된 양념 빨간색으로 된 양념 두 가지 그리고 순살 있어요,베스트메뉴문의추천요청
주로 잘 나가는 메뉴가 있어요?,달달하고 궁중 4번 세트라고 궁중하고 다달이 제일 잘나갑니다,베스트메뉴문의추천요청
추천해 주세요,보통 저희들 뼈 닭 같은 경우에는 투 펀치 반만 반이라고 그게 나눠서 세 가지 맛이 들어가요,베스트메뉴문의추천요청
한 세트에 19000원요 그 종류 말고 다른 거 또 뭐 잘 나가는 거 뭐 있어요?,프라이드 등 여러 가지 많이 있어요,베스트메뉴문의추천요청
주로 뭐 잘 나가요? 빨리 나올 수 있는 요리가 있나요?,유산슬 팔보채 양장피 이런 거 고급 음식이라 잘 나갑니다,베스트메뉴문의추천요청
그러면 주로 어떤 거 시키나요 사람들이?,주로 밥 종류는 짬뽕 짜장면 간짜장 잡채밥 볶음밥 이렇게 시키세요,베스트메뉴문의추천요청
짬뽕이나 간짜장 중에 어떤 게 잘 나가나요?,저는 배달하는 사람이라서 그건 잘 모르겠네요,베스트메뉴문의추천요청
주로 어떤 게 잘 나가요?,탕수육에 짜장이나 짬뽕 세트가 잘 나가죠,베스트메뉴문의추천요청
짬뽕류는 어떤 게 있나요? 잘 나가는 짬뽕 있나요?,특해물 짬뽕도 있고 전복 새우 짬뽕도 있고 해물 종류도 새우 홍합 전복 없는 게 없습니다,베스트메뉴문의추천요청
그러면 제일 빨리 나오는 게 어떤 짬뽕이에요?,일반 짬뽕이 제일 빨리 나오죠,빨리되는메뉴문의
잘 나가고 빨리 오는 짬뽕 종류는 메뉴가 어떤 거예요?,볶아 놓은 걸 드리는 게 아니고 바로바로 볶기 때문에 짬뽕 종류는 똑같아요,빨리되는메뉴문의
컵 같은 데다가 메인 메뉴 말고 사이드 메뉴같이 하나 있는 거 같던데?,피자 끝에 올라가는 라고는 일곱 개 더 드리는 겁니다,사이드메뉴정보문의
콜라 작은 거에서 큰 거로 변경 가능한가요?,가능하지만 1000원 추가요금 있습니다,사이즈-업문의요청
콜라는 사이즈업해주세요,네 음료 사이즈업 시 1000원 추가됩니다,사이즈-업문의요청
3번 세트메뉴에 자장면 곱빼기 변경되나요,네 변경됩니다,사이즈-업문의요청
콜라 사이즈 업도 가능하죠?,네,사이즈-업문의요청
짜장면 곱빼기로 가능할까요?,네. 가능합니다.,사이즈-업문의요청
양념소스만 더 챙겨주신다 혹시 온누리 상품권도 돼요? 김해 온누리상품권,아니요 저희는 안됩니다,상품권결제
혹시 온누리 상품권 결제도 돼요? 온누리 상품권,상품권 같은 건 안돼요 고객님 현금이나 카드 결제 밖에 안됩니다,상품권결제
소스 자체가 섞어져 있는 거군요. 그럼 혹시 상품권 온누리 상품권 돼요?,안됩니다,상품권결제
그래요 혹시 온누리 상품권도 되나요?,안됩니다,상품권결제
그렇구나 혹시 뭐 온누리 상품권도 결제돼요?,안 돼요,상품권결제
현금으로 결제할 건데 서비스 있나요?,네 군만두 서비스로 드릴게요,서비스문의
군만두도 서비스로 가져다주세요,단골이신데 당연하죠,서비스문의
피자 라지에 콜라가 서비스로 오나요?,아니요 콜라는 따로 주문해주세요,서비스문의
혹시 콜라같이 나오나요?,네 500ml 하나 서비스로 드립니다,서비스문의
혹시 콜라 서비스인가요?,콜라는 세트메뉴를 시키셨을 때만 무료로 제공됩니다,서비스문의
혹시 서비스 있나요?,군만두 있습니다,서비스문의
콜라도같이 주시나요?,네 메뉴에 포함됩니다,서비스문의
콜라는 제공되나요?,1마리 주문 시 500ml 콜라 제공됩니다,서비스문의
네 샐러드 서비스되나요?,1개 기본이고 추가 시 2000원입니다,서비스문의
콜라도 주시나요?,콜라는 주문하셔야 됩니다,서비스문의
주문하면 피클하고 또 뭐 주시나요?,"피클 하나, 갈릭소스 하나, 핫 소스 하나 이렇게 갑니다",서비스문의
여기는 피클하고 그런 거는 뭐와요?,"피클 하나, 파마산 하나, 핫 소스 두 개, 음료 500ml가 기본으로 갑니다",서비스문의
핫 소스 같은 건 안 나오겠네요?,핫 소스 파마산 어니언 소스도 나가요,서비스문의
콜라나 피클 같은 건 뭐 주세요?,콜라는 따로 추가해야 하고 피클은 기본으로 나갑니다,서비스문의
그럼 음료수 따로 나옵니까?,콜라는 따로 사셔야 돼요,서비스문의
서비스는 없습니까?,"콜라, 음료수 정도 드릴 수 있어요",서비스문의
음료수는 어떻게 되예?,음료수는 따로 시키셔야 됩니다,서비스문의
피클은 좀 많이 주시면 안 돼요?,피클 기본 한 개 나가는데 추가 당 800원이고 작은 피클은 500원입니다,서비스문의
콜라는 주는 건가요?,아니요 따로 주문하셔야 돼요,서비스문의
오이피클은 주나요?,네 피클은 기본 두 개 나갑니다,서비스문의
여기 콜라는 주나요?,음료는 별도 주문이세요,서비스문의
깐풍육 대자 시키면 서비스 뭐 주시나요?,서비스로 만두 나가고 안 좋아하시면 콜라 하나 드립니다,서비스문의
서비스는 뭐 주세요?,소주 음료수 콜라 짬뽕 국물 중에 선택하시면 됩니다,서비스문의
양장피 35000원짜리 하면은 다른 거 뭐 주시나요?,만두 서비스요,서비스문의
